source,date,week,rating,title,text,theme_label
Play Store,2026-08-25,2026-W35,5,,"Awosome groww had lots of problems *Main issues people are facing:* - App not opening / login failed during market hours - showed ""We are facing temporary problem, please try again later"" - Orders getting rejected even with balance, Demat balance not showing.",Onboarding & KYC
Play Store,2026-08-25,2026-W35,2,,i can't login to my primary account,Onboarding & KYC
Play Store,2026-08-25,2026-W35,4,,add one click delivery trade exit just like zerodha,Orders & Investing
Play Store,2026-08-25,2026-W35,5,,put some videos of trading for public,Orders & Investing
Play Store,2026-08-25,2026-W35,1,,"In logon ne mera 3,000 rupee broker me atkaya hua hai ye log na to mera F&O activate kr rahe hain aur na hi mera paisa withdrawal de rahe hain. aur customer care walon se connect hona chaho to 15min wait kro call connect hone ka 😭😭 mera 3000 pada hua hai mai kya kru na to usse trade kr paa raha hu na hi withdrawal kr paa raha hu aaj mummy se baat krne ke liye bole hain agr baat krne ke baad bhi nhi return krenge paisa to mai suiside laga lunga Aaj 😭",Payments & Withdrawals
Play Store,2026-08-24,2026-W35,1,,"Call support very bad, I did 10 minutes call, did not pic my call.","Charges, Statements & Support"
Play Store,2026-08-24,2026-W35,1,,I can't log in the app. it's struck in allow permission page. I gave all permission but it didn't went through. worst customer AI service,Onboarding & KYC
Play Store,2026-08-24,2026-W35,1,,ipo payment status not proper reflect and customer call not answer please customer not use this app,Payments & Withdrawals
Play Store,2026-08-24,2026-W35,1,,"⭐ 1 Star Worst experience with Groww. IPO apply करने के बाद UPI Mandate Request तुरंत नहीं आती और इसी delay की वजह से मेरा IPO miss हो गया। Customer समय पर apply करे और system की देरी से IPO छूट जाए, इससे ज्यादा frustrating क्या हो सकता है? IPO Apply करते ही UPI Mandate Request तुरंत भेजनी चाहिए। Please fix this!",Payments & Withdrawals
Play Store,2026-08-24,2026-W35,1,,"⭐ 1 Star IPO Apply करने के बाद UPI Mandate Request तुरंत आनी चाहिए। अभी IPO select करके UPI ID डालने के बाद Mandate Request कभी भी 24 घंटे के अंदर आती है, जिससे काफी delay हो जाता है। मेरा सुझाव है कि जैसे ही कोई customer IPO Apply करे और UPI ID link करे, उसी समय तुरंत UPI Mandate Request भेजी जाए, ताकि customer उसी समय एक click में mandate accept करके IPO application complete कर सके। इस delay की वजह से मेरा एक अच्छा IPO apply नहीं हो पाया और मेरे हाथ से मौका निकल गया। कृपया UPI Mandate proc",Payments & Withdrawals
Play Store,2026-08-24,2026-W35,1,,"⭐ 1 Star बहुत खराब अनुभव। IPO समय पर Apply करने के बाद UPI Mandate तुरंत नहीं आता, बल्कि कभी भी 24 घंटे के अंदर आता है। IPO जैसी time-sensitive चीज में यह delay बहुत बड़ी समस्या है। मेरी गलती नहीं थी, फिर भी UPI Mandate समय पर नहीं आने की वजह से मेरा एक अच्छा IPO हाथ से निकल गया। Groww को समझना चाहिए कि ग्राहक अपना पैसा और समय भरोसे से लगाता है। अगर आपकी system delay की वजह से उसका IPO miss हो जाए, तो उस नुकसान की जिम्मेदारी कौन लेगा? IPO Apply करते ही उसी समय UPI Mandate Request भेजनी चाहिए",Payments & Withdrawals
Play Store,2026-08-24,2026-W35,1,,"3rd class app, crazy and mad developers updating app unnecessarily in ever few days. I use other brokers also but they have better app and also they don't give updates like hell like this stupid app. I will definitely change and delete my account with this broker and will use another one. don't deserve even 1 star 0 star for groww",Unthemed
Play Store,2026-08-22,2026-W34,4,,"nice experience with this app very nice app, very smooth to use,very fast processing.orders so fast process.",Orders & Investing
Play Store,2026-08-21,2026-W34,1,,main kahana chahta hun isase bada app kabhi bhi aapane dekha nahin hoga kyunki iska support system jo hai na bahut hota Hai aur yah Jo aapka app hai na yah aapko badhiya se kuchh samajh mein samajhne ke liye bhi nahin hoga kyunki yah app Apne Marji se chalta hai aapko koi bhi download nahin Karega,"Charges, Statements & Support"
Play Store,2026-08-21,2026-W34,1,,"Worst ever experience, you guys are thieves i mistakenly chose the MF prime plan, now I can't revert back to Classic plan. no OTP is coming, either in sms or mail",Onboarding & KYC
Play Store,2026-08-21,2026-W34,5,,Good app for trading and investment,Orders & Investing
Play Store,2026-08-21,2026-W34,1,,"Very worst app, i joined via Attapoll app. This app devoloper offered joining reward, but they did not credited promised reward. I submitted proof in Adscend Media form. They said me Groww team not approved your reward. it's mean Groww team is cheated me. Really disappointed, very very shame on you Groww team.",Payments & Withdrawals
Play Store,2026-08-21,2026-W34,1,,It's froud aps u can't fund transfer to other bank SBI security is best aps.....,Payments & Withdrawals
Play Store,2026-08-21,2026-W34,5,,Good 👍,Unthemed
Play Store,2026-08-20,2026-W34,1,,[name] bring to your attention a technical issue [name] chart pricing on your platform. legging chart note fast app very slow uploading chart [name] Wi-Fi jio wifi and airtel WiFi but your chart is very slow loading,App Performance & UX
